city,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,lat,lon
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1346931810,1345024001,1401795910,1402950092,1432601929,1458928746,1480026829,1508145135,1532202227,40.68295,-73.9708
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",761847125,773753329,788081634,805082446,827255500,862381688,879958191,912491020,941064112,34.05513,-118.25703
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",539704813,547499300,561588192,566499499,576000060,589049966,594060750,600421994,611591128,41.87897,-87.66063
"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",337823829,339335749,364594793,377737541,400781517,424791715,443866458,472872746,497195398,37.778008,-122.431272
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",429589652,439038605,442624520,440244140,444372424,454378772,464734865,471918848,484792706,38.912097,-77.014683
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",351672601,362930984,375286232,386681388,404622644,425323274,436717395,451414779,468918434,32.736212,-96.784359
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",381346585,390737065,404431385,419466692,420449655,442705932,429133987,432329249,445335360,29.784753,-95.361416
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",340175461,347987667,357087616,358112069,365795093,381287879,389080919,399360729,412855824,42.355492,-71.048611
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",355280273,357727769,364699327,367021946,373817056,383559415,389389098,388791070,398674377,39.990821,-75.168428
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",278698042,284227194,287570424,293812164,307232862,320160440,334862045,348681584,357308437,33.769805,-84.414581
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",248903638,256694112,269668824,278883107,290949071,304333821,315094519,332835662,355662749,47.673455,-122.331537
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",174393890,187433129,194167686,213509528,231295129,254023744,270803531,289710772,318998478,37.354559,-121.883844
"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",257860365,258703992,259070997,265814998,274987510,286151043,295529169,306141923,315031150,25.766368,-80.210268
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",197274436,205487945,212159700,215851242,219559892,224508971,230047866,233241705,238679503,42.398649,-83.164515
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",197700163,202178526,205223887,209637747,218244103,222125886,226438178,231078542,237140794,44.852774,-93.341844
"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",181027408,186397519,192799880,194105313,197939483,204031462,210882969,217895725,227741337,33.60503,-112.070892
"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",174052646,177867461,180338029,187845995,193675144,200564607,203882502,210693896,219361505,32.72793,-117.15529
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",145800061,148733648,152873532,159346539,166771650,175076489,179631781,187126660,193965928,39.740959,-104.985798
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",160892954,164048190,165503885,167044799,169106886,171574554,177075054,178407243,183093526,39.319732,-76.649533
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",128214518,131711899,132596838,137290849,142594292,149872535,154105682,159582093,164892302,33.949274,-117.36368
