city,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,lat,lon
"Milwaukee city, Wisconsin",594881,597056,598581,599965,600743,600627,597123,593905,592025,43.063146,-87.948334
"Madison city, Wisconsin",233716,236877,239872,243246,245870,248714,252485,255473,258054,43.081309,-89.395609
"Green Bay city, Wisconsin",103977,104337,104657,104630,104671,104820,104719,104986,104879,44.585576,-92.455388
"Kenosha city, Wisconsin",99440,99599,99908,99756,99785,99559,99485,99965,100164,42.584327,-87.841871
"Racine city, Wisconsin",78751,78454,78191,78074,77905,77581,77455,77507,77432,42.731067,-87.791984
"Appleton city, Wisconsin",72702,72911,73121,73588,74000,74173,74433,74586,74526,44.356004,-89.466198
"Waukesha city, Wisconsin",71214,71219,71716,71779,72015,72381,72416,72547,72549,43.02433,-88.244537
"Eau Claire city, Wisconsin",66297,66837,67338,67893,67747,67765,68276,68596,68866,44.356004,-89.466198
"Oshkosh city, Wisconsin",66188,66216,66715,66811,66672,66571,66517,66568,66729,44.020221,-88.557551
"Janesville city, Wisconsin",63601,63414,63483,63655,63841,63875,64029,64321,64565,42.678658,-89.026197
"West Allis city, Wisconsin",60428,60496,60705,60815,60779,60734,60353,59872,59492,44.597757,-90.371726
"La Crosse city, Wisconsin",51381,51228,51966,51891,52148,52036,51851,51751,51567,44.356004,-89.466198
"Wauwatosa city, Wisconsin",46437,46465,47035,47192,47195,47651,48043,48145,48376,43.052762,-88.043853
"Sheboygan city, Wisconsin",49356,49136,48806,48717,48719,48719,48576,48401,48180,43.756279,-87.723689
"Fond du Lac city, Wisconsin",43004,43093,43009,42945,42946,42841,42853,42680,42959,44.356004,-89.466198
"New Berlin city, Wisconsin",39579,39606,39716,39810,39837,39755,39770,39768,39733,43.968582,-88.952344
"Brookfield city, Wisconsin",37911,37890,37984,37969,37954,37928,37973,38074,38770,43.076162,-88.129043
"Wausau city, Wisconsin",39171,39132,39129,39175,39140,38938,38710,38686,38580,44.963482,-89.639884
"Menomonee Falls village, Wisconsin",35624,35690,35828,35917,35982,36074,36755,37445,37671,43.14828,-88.113754
"Greenfield city, Wisconsin",36765,36804,37028,37153,37206,37120,36943,36775,37358,42.960386,-88.001015
